iter	Logloss	Accuracy	Precision
484	0.3367392255	0.8629870014	0.8595552142
485	0.3366667086	0.8630108411	0.8595015539
486	0.336583435	0.8631419597	0.8596162845
487	0.3365093207	0.8631419597	0.8595990258
488	0.3364452485	0.8631777194	0.8596263902
489	0.3363615748	0.8632075191	0.8596779612
490	0.3362874101	0.8633267178	0.859746149
491	0.3362091048	0.8633267178	0.8597979459
492	0.3360730373	0.8634101569	0.8598905714
493	0.3359642486	0.8635293557	0.859993281
494	0.3358567284	0.8635531954	0.8599222723
495	0.3357773464	0.8636485544	0.8601046216
496	0.3357234171	0.8636187547	0.8600184739
497	0.3356601291	0.8636664342	0.8600578194
498	0.3356011377	0.8637200737	0.8601420414
499	0.3355218581	0.8637081538	0.8601214041
500	0.3354495571	0.863779673	0.860202025
501	0.335370784	0.8638273525	0.8602154407
502	0.3353081608	0.8638869519	0.8602927063
503	0.3352125116	0.8640061507	0.8604472598
504	0.3351369065	0.8640597901	0.8604709749
505	0.335041012	0.8640299904	0.8604539565
506	0.3349319942	0.8640240305	0.8604522824
507	0.33484746	0.86406575	0.8604812975
508	0.3347850827	0.8641730289	0.8605806142
509	0.3347076771	0.8642207084	0.8605680428
510	0.3346523634	0.864256468	0.8606299779
511	0.3346076155	0.864262428	0.8605797484
512	0.3345233743	0.8644054665	0.8607236661
513	0.3344655063	0.8643995065	0.8606960401
514	0.3344173996	0.8643697068	0.8606703844
515	0.3343572277	0.8644829456	0.8607540292
516	0.3342796509	0.8644948655	0.8607833261
517	0.3341749612	0.8646021444	0.8608652901
518	0.3340610162	0.8647153832	0.8609315988
519	0.334009117	0.8647571028	0.8610211766
520	0.333927594	0.8647869024	0.8610554843
521	0.3338392508	0.8648107422	0.8610534898
522	0.3337433572	0.8650074201	0.8613163197
523	0.3336515192	0.8649835804	0.8614050241
524	0.3335553723	0.8650431797	0.8614823524
525	0.3334600641	0.8650729794	0.8614386297
526	0.3333703364	0.8650968192	0.8614105993
527	0.3332935823	0.8651385387	0.8614915921
528	0.3332338797	0.8651325788	0.8614899308
529	0.3331572939	0.8652577375	0.8615855121
530	0.3330592849	0.8653232968	0.8616471378
531	0.3329006664	0.8653173369	0.8615154058
532	0.3328315879	0.8653471365	0.8616190807
533	0.33272644	0.8653530965	0.8616727831
534	0.3326418188	0.8654186558	0.86175176
535	0.3325958328	0.8654603754	0.8618154341
536	0.3325014601	0.8655259347	0.8619031055
537	0.3323669173	0.8656332135	0.8619763244
538	0.3322945691	0.8656332135	0.8619676417
539	0.3322178366	0.8657524123	0.8620788909
540	0.3321471118	0.8657702921	0.8620143885
541	0.3320856826	0.8658120117	0.8620606962
542	0.3320086701	0.8659371703	0.8622256865
543	0.3319543062	0.86596697	0.8622339469
544	0.3318590565	0.8659431303	0.8622360263
545	0.3317835123	0.8659431303	0.8622360263
546	0.331716758	0.86596697	0.8622513221
547	0.3316256791	0.86597293	0.8622529739
548	0.3315714005	0.8660146495	0.8622819114
549	0.3315152852	0.8659908098	0.8622492416
550	0.3314389767	0.8660444492	0.862229362
551	0.3313236054	0.8661398082	0.862316582
552	0.3312405899	0.8661517281	0.8623285701
553	0.3311652382	0.8661398082	0.8624121639
554	0.3310891144	0.8662411271	0.8625010492
555	0.331006595	0.8662888066	0.8625142378
556	0.3309480396	0.8663364861	0.8625100399
557	0.3308798156	0.866354366	0.8625758339
558	0.3307845191	0.8663722458	0.8625633894
559	0.3307258194	0.866443765	0.8626179316
560	0.3306822323	0.8664199253	0.8626026494
561	0.3305865069	0.8664497249	0.8626456625
562	0.3305057299	0.8665212442	0.862752386
563	0.3304041132	0.8666285231	0.8628515934
564	0.3302789352	0.8667477218	0.8629627853
565	0.3302143689	0.8668132811	0.8630766095
566	0.3301754712	0.8668550007	0.8631229316
567	0.3300807564	0.8668848004	0.8631137222
568	0.3300047484	0.8668788404	0.8630685496
569	0.3299470164	0.8669026802	0.8630402992
570	0.3298494738	0.8669563196	0.8631769516
571	0.3297863032	0.8669741994	0.8631731645
572	0.3297291976	0.8670099591	0.8632091306
573	0.3296908179	0.8669861193	0.8631764452
574	0.3296042317	0.8670576386	0.8632309573
